id,"name","created_at","updated_at",user_id,active,"destroyed_at",order,lock_version,published
65,"匈牙利","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
66,"斯洛文尼亚","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
67,"克罗地亚","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
68,"波斯尼亚","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
69,"黑山共和国","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
70,"南斯拉夫","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
71,"马其顿","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
72,"罗马尼亚","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
73,"摩尔多瓦","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
74,"保加利亚","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
75,"英国","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
76,"爱尔兰","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
77,"荷兰","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
78,"比利时","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
79,"卢森堡","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
80,"法国","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
81,"摩纳哥","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
82,"西班牙","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
83,"葡萄牙","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
84,"安道尔","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
85,"瑞士","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
86,"列支敦士登","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
87,"奥地利","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
88,"意大利","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
89,"圣马力诺","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
90,"梵蒂冈","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
91,"塞尔维亚","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
92,"阿尔巴尼亚","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
93,"希腊","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
94,"埃及","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
95,"利比亚","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
96,"突尼斯","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
97,"摩洛哥","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
98,"阿尔及利亚","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
99,"毛里塔尼亚","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
100,"马里","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
101,"塞内加尔","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
102,"冈比亚","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
103,"几内亚比绍","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
104,"几内亚","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
105,"塞拉利昂","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
106,"佛得角","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
107,"利比里亚","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
108,"科特迪瓦","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
109,"加纳","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
110,"多哥","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
111,"贝宁","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
112,"尼日尔","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
113,"尼日利亚","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
114,"喀麦隆","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
115,"赤道几内亚","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
116,"圣多美和普林西比","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
117,"乍得","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
118,"中非","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
119,"苏丹","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
120,"埃塞俄比亚","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
121,"厄立特里亚","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
