id,"name",city_id,"created_at","updated_at",user_id,active,"destroyed_at",order,lock_version,published
62,"襄樊市",8,"2010-08-12 10:41:22","2012-09-25 19:14:37",1,1,NULL,1,1,1
63,"襄城区",8,"2010-08-12 10:41:22","2012-09-25 19:14:37",1,1,NULL,1,1,1
64,"樊城区",8,"2010-08-12 10:41:22","2012-09-25 19:14:37",1,1,NULL,1,1,1
65,"襄阳区",8,"2010-08-12 10:41:22","2012-09-25 19:14:37",1,1,NULL,1,1,1
66,"老河口市",8,"2010-08-12 10:41:22","2012-09-25 19:14:37",1,1,NULL,1,1,1
67,"枣阳市",8,"2010-08-12 10:41:22","2012-09-25 19:14:37",1,1,NULL,1,1,1
68,"宜城市",8,"2010-08-12 10:41:22","2012-09-25 19:14:37",1,1,NULL,1,1,1
69,"南漳县",8,"2010-08-12 10:41:22","2012-09-25 19:14:37",1,1,NULL,1,1,1
70,"谷城县",8,"2010-08-12 10:41:22","2012-09-25 19:14:37",1,1,NULL,1,1,1
71,"保康县",8,"2010-08-12 10:41:22","2012-09-25 19:14:37",1,1,NULL,1,1,1
72,"省直辖县级行政单位",9,"2010-08-12 10:41:22","2012-09-25 19:14:37",1,1,NULL,1,1,1
73,"　",9,"2010-08-12 10:41:22","2012-09-25 19:14:37",1,1,NULL,1,1,1
74,"仙桃市",9,"2010-08-12 10:41:22","2012-09-25 19:14:37",1,1,NULL,1,1,1
75,"天门市",9,"2010-08-12 10:41:22","2012-09-25 19:14:37",1,1,NULL,1,1,1
76,"潜江市",9,"2010-08-12 10:41:22","2012-09-25 19:14:37",1,1,NULL,1,1,1
77,"神农架林区",9,"2010-08-12 10:41:22","2012-09-25 19:14:37",1,1,NULL,1,1,1
78,"荆州市",10,"2010-08-12 10:41:22","2012-09-25 19:14:37",1,1,NULL,1,1,1
79,"沙市区",10,"2010-08-12 10:41:22","2012-09-25 19:14:37",1,1,NULL,1,1,1
80,"荆州区",10,"2010-08-12 10:41:22","2012-09-25 19:14:37",1,1,NULL,1,1,1
81,"石首市",10,"2010-08-12 10:41:22","2012-09-25 19:14:37",1,1,NULL,1,1,1
82,"洪湖市",10,"2010-08-12 10:41:22","2012-09-25 19:14:37",1,1,NULL,1,1,1
83,"松滋市",10,"2010-08-12 10:41:22","2012-09-25 19:14:37",1,1,NULL,1,1,1
84,"江陵县",10,"2010-08-12 10:41:22","2012-09-25 19:14:37",1,1,NULL,1,1,1
85,"公安县",10,"2010-08-12 10:41:22","2012-09-25 19:14:37",1,1,NULL,1,1,1
86,"监利县",10,"2010-08-12 10:41:22","2012-09-25 19:14:37",1,1,NULL,1,1,1
87,"恩施土家族苗族自治州",11,"2010-08-12 10:41:22","2012-09-25 19:14:37",1,1,NULL,1,1,1
88,"恩施市",11,"2010-08-12 10:41:22","2012-09-25 19:14:37",1,1,NULL,1,1,1
89,"利川市",11,"2010-08-12 10:41:22","2012-09-25 19:14:37",1,1,NULL,1,1,1
90,"建始县",11,"2010-08-12 10:41:22","2012-09-25 19:14:37",1,1,NULL,1,1,1
91,"巴东县",11,"2010-08-12 10:41:22","2012-09-25 19:14:37",1,1,NULL,1,1,1
92,"宣恩县",11,"2010-08-12 10:41:22","2012-09-25 19:14:37",1,1,NULL,1,1,1
93,"咸丰县",11,"2010-08-12 10:41:22","2012-09-25 19:14:37",1,1,NULL,1,1,1
94,"来凤县",11,"2010-08-12 10:41:22","2012-09-25 19:14:37",1,1,NULL,1,1,1
95,"鹤峰县",11,"2010-08-12 10:41:22","2012-09-25 19:14:37",1,1,NULL,1,1,1
96,"黄石市",12,"2010-08-12 10:41:22","2012-09-25 19:14:37",1,1,NULL,1,1,1
97,"黄石港区",12,"2010-08-12 10:41:22","2012-09-25 19:14:37",1,1,NULL,1,1,1
98,"西塞山区",12,"2010-08-12 10:41:22","2012-09-25 19:14:37",1,1,NULL,1,1,1
99,"下陆区",12,"2010-08-12 10:41:22","2012-09-25 19:14:37",1,1,NULL,1,1,1
100,"铁山区",12,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
101,"大冶市",12,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
102,"阳新县",12,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
103,"黄冈市",13,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
104,"黄州区",13,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
105,"麻城市",13,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
106,"武穴市",13,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
107,"红安县",13,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
108,"罗田县",13,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
109,"英山县",13,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
110,"浠水县",13,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
111,"蕲春县",13,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
112,"黄梅县",13,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
113,"团风县",13,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
114,"鄂州市",14,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
115,"鄂城区",14,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
116,"梁子湖区",14,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
117,"华容区",14,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
